Title,Title_link,Price,first_detail_cell,Location,last_detail_cell,detail_cell,Headline,Borough
29-11 Queens Plaza North #G328,https://streeteasy.com/building/aurora-29_11-queens-plaza-north-long_island_city/g328?featured=1,"$5,995 ",3 beds,Rental Unit in Long Island City,2 baths,,"29-11 Queens Plaza North #G328 in Long Island City, Queens | StreetEasy", Queens 
736 Washington Avenue #2F,https://streeteasy.com/building/736-washington-avenue-brooklyn/2f?featured=1,"$3,000 ",2 beds,Rental Unit in Prospect Heights,1 bath,,"736 Washington Avenue #2F in Prospect Heights, Brooklyn | StreetEasy", Brooklyn 
60 Jefferson Street #3F,https://streeteasy.com/building/60-jefferson-street-brooklyn/3f,"$2,395 ",1 bed,Building in Bushwick,1 bath,,"60 Jefferson Street #3F in Bushwick, Brooklyn | StreetEasy", Brooklyn 
319 W 116th Street #5D,https://streeteasy.com/building/319-west-116-street-new_york/5d,"$2,850 ",2 beds,Rental Unit in South Harlem,1 bath,,"319 W 116th Street #5D in South Harlem, Manhattan | StreetEasy", Manhattan 
25 Fayette Street #3R,https://streeteasy.com/building/25-fayette-street-brooklyn/3r,"$3,116 ",3 beds,Building in Bushwick,2 baths,,"25 Fayette Street #3R in Bushwick, Brooklyn | StreetEasy", Brooklyn 
44 Stanhope Street #201,https://streeteasy.com/building/44-stanhope-street-brooklyn/201,"$2,400 ",1 bed,Rental Unit in Bushwick,575 ft²,1 bath,"44 Stanhope Street #201 in Bushwick, Brooklyn | StreetEasy", Brooklyn 
25 Fayette Street #3F,https://streeteasy.com/building/25-fayette-street-brooklyn/3f,"$3,116 ",3 beds,Building in Bushwick,2 baths,,"25 Fayette Street #3F in Bushwick, Brooklyn | StreetEasy", Brooklyn 
44 Stanhope Street #401,https://streeteasy.com/building/44-stanhope-street-brooklyn/401,"$2,900 ",2 beds,Rental Unit in Bushwick,800 ft²,1 bath,"44 Stanhope Street #401 in Bushwick, Brooklyn | StreetEasy", Brooklyn 
25 Fayette Street #4A,https://streeteasy.com/building/25-fayette-street-brooklyn/4a,"$3,116 ",3 beds,Building in Bushwick,2 baths,,"25 Fayette Street #4A in Bushwick, Brooklyn | StreetEasy", Brooklyn 
301 East 38th #3C,https://streeteasy.com/building/the-mango/3c,"$2,595 ",1 bed,Rental Unit in Murray Hill,1 bath,,"301 East 38th #3C in Murray Hill, Manhattan | StreetEasy", Manhattan 
12 Ford Street #6K,https://streeteasy.com/building/12-ford-street-brooklyn/6k,"$3,100 ",2 beds,Rental Unit in Weeksville,"1,000 ft²",1 bath,"12 Ford Street #6K in Weeksville, Brooklyn | StreetEasy", Brooklyn 
54 East 3rd Street #TWO,https://streeteasy.com/building/54-east-3-street-new_york/two,"$8,480 ",5 beds,Rental Unit in East Village,3.5 baths,,"54 East 3rd Street #TWO in East Village, Manhattan | StreetEasy", Manhattan 
274 Sumpter Street #1,https://streeteasy.com/building/274-sumpter-street-brooklyn/rental/2766158,"$2,495 ",3 beds,Rental Unit in Ocean Hill,1 bath,,"274 Sumpter St. in Ocean Hill, Brooklyn | StreetEasy", Brooklyn 
222 East 44th Street #17L,https://streeteasy.com/building/summit-222-east-44th-street-new_york/17l?featured=1,"$7,395 ",2 beds,"New Development
        Rental Unit in Turtle Bay",2 baths,,"222 East 44th Street #17L in Turtle Bay, Manhattan | StreetEasy", Manhattan 
245 East 124th Street #4L,https://streeteasy.com/building/tapestry-245-east-124-street-new_york/4l?featured=1,"$2,000 ",1 bath,Rental Unit in East Harlem,,,"245 East 124th Street #4L in East Harlem, Manhattan | StreetEasy", Manhattan 
83-39 116th Street #2,https://streeteasy.com/building/83_31-116-street-queens/2,"$1,750 ",1 bed,Building in Kew Gardens,800 ft²,1 bath,"83-39 116th Street #2 in Kew Gardens, Queens | StreetEasy", Queens 
8705 5th Avenue #3F,https://streeteasy.com/building/8705-5-avenue-brooklyn/3f,"$2,200 ",2 beds,Rental Unit in Fort Hamilton,1 bath,,"8705 5th Avenue #3F in Fort Hamilton, Brooklyn | StreetEasy", Brooklyn 
265 East 66th Street #41B,https://streeteasy.com/building/265-east-66-street-new_york/41b,"$6,400 ",1 bed,Rental Unit in Lenox Hill,"1,165 ft²",1.5 baths,"265 East 66th Street #41B in Lenox Hill, Manhattan | StreetEasy", Manhattan 
311 East 72nd Street #16A,https://streeteasy.com/building/311-east-72-street-new_york/16a,"$3,195 ",1 bed,Rental Unit in Lenox Hill,600 ft²,1 bath,"311 East 72nd Street #16A in Lenox Hill, Manhattan | StreetEasy", Manhattan 
224 East 11th Street #2RE,https://streeteasy.com/building/224-east-11-street-new_york/2re,"$5,295 ",3 beds,Co-op in East Village,775 ft²,1 bath,"224 East 11th Street #2RE in East Village, Manhattan | StreetEasy", Manhattan 
108 East 91st Street #6B,https://streeteasy.com/building/108-east-91-street-new_york/6b,"$4,300 ",1 bed,Co-op in Carnegie Hill,776 ft²,1 bath,"108 East 91st Street #6B in Carnegie Hill, Manhattan | StreetEasy", Manhattan 
